order	family	genus	species	common	max_tl_mm
Anguilliformes	Synaphobranchidae	Simenchelys	parasitica	Snubnosed Eel	610
Squaliformes	Somniosidae	Somniosus	microcephalus	Greenland Shark	7300
Squaliformes	Squalidae	Squalus	acanthias	Picked Dogfish	1600
Perciformes	Stichaeidae	Stichaeus	punctatus	Arctic Shanny	220
Anguilliformes	Synaphobranchidae	Synaphobranchus	kaupii	Kaups Arrowtooth Eel	1000
Aulopiformes	Synodontidae	Synodus	poeyi	Offshore Lizardfish	250
Gadiformes	Macrouridae	Trachyrhincus	murrayi	Roughnose Grenadier	370
Scorpaeniformes	Cottidae	Triglops	murrayi	Moustache Sculpin	200
Perciformes	Stichaeidae	Ulvaria	subbifurcata	Radiated Shanny	180
Gadiformes	Phycidae	Urophycis	chuss	Red Hake	660
Gadiformes	Phycidae	Urophycis	tenuis	White Hake	1330
Osmeriformes	Alepocephalidae	Xenodermichthys	copei	Bluntnose Smooth Head	310
Perciformes	Zoarcidae	Zoarces	americanus	Ocean Pout	1100
